StateContemporary,Latitude,Longitude,Ruler,Alternative Names,Birth,Death,Reign_Begin,Reign_End,StateRuled,CapitalofStateRuled,Position,Title,Description,Image,Image Repository,Repository Link
Peru,-12.04868,-77.03317,Ana Francisca de Borja y Doria,,1640,,1668,,Peru,,Governor,Governor,,,,
Comoro Islands,-11.66405,43.34262,Alimah III,Halima III,,,1676,1711,Anjouan sultanate,,Sultana regnant,Sultana regnant,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/AMH-6418-NA_Map_of_Anjouan.jpg/800px-AMH-6418-NA_Map_of_Anjouan.jpg,Atlas of Mutual Heritage,
Angola and the Democratic Republic of Congo,-5.87119,14.37801,Ana Afonso de Leão,,1625,1710,1673,1709,Nkondo,,Queen,Queen,,,,
"Kindonga, Democratic Republic of Congo",-5.61699,18.13319,Nzinga of Ndongo and Matamba,"Nzinga, Nzingha, Njinga, Njingha, Jinga, Ginga, Zinga, Zingua, Zhinga, Singa, Ana de Sousa, Anna de Souza Nzingha",1582,1663,"1624
1631","1663
1663","Ndongo
Mantamba",,Queen,Queen,,https://upload.wikimedia.org/wikipedia/commons/2/21/Ann_Zingha.jpg?20140919014050,National Portrait Gallery,https://www.npg.org.uk/collections/search/portrait/mw150782/Ann-Zingha
Maldives,4.1755,73.5093,Kuda Kala Kamanafaanu,,,1609,1607,1609,Maldives,Malé,Sultana Regnant,Sultana Regnant,,,,
Maldives,4.1755,73.5093,Mariyam Kaba'afa'anu Rani Kilege,,,1691,1687,1691,Maldives,Malé,Regent,Sultana consort,,,,
"Aceh, Indonesia",5.54898,95.31554,Inayat Zakiatuddin Syah,Puteri Raja Setia,1645,1688,1678,1688,Acèh Darussalam,Banda Aceh,Sultana Regnant,Sultana Regnant,,,,
"Aceh, Indonesia",5.54898,95.31554,Nurul Alam Naqiatuddin Syah,,,1678,1675,1678,Aceh,Banda Aceh,Sultana Regnant,Sultana Regnant,,,,
"Aceh, Indonesia",5.54898,95.31554,Taj ul-Alam,Putri Sri Alam,1612,1675,1641,1675,Aceh,Banda Aceh,Sultana Regnant,Sultana Regnant,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Sultanah_Safiatuddin.jpg/770px-Sultanah_Safiatuddin.jpg,Wikimedia Commons,https://en.wikipedia.org/wiki/File:Sultanah_Safiatuddin.jpg
"Aceh, Indonesia",5.54898,95.31554,Zainatuddin of Aceh,,,1700,1688,1689,Aceh Darussalam,Banda Aceh,Sultana Regnant,Sultana Regnant,,-,,
"Kelantan, Malaysia",6.12458,102.2503,Puteri Saadong,Mariam,,,1663,1667,Kelantan,Kota Bharu,Queen Regnant,Queen Regnant,,,,
"Kelantan, Malaysia",6.12458,102.2503,Siti Wan Kembang,,1585,1663,1610,1663,Kelantan,Kelantan,Queen Regnant,Queen Regnant,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Cik_Siti_Wan_Kembang_%28U%29.jpg/600px-Cik_Siti_Wan_Kembang_%28U%29.jpg?20140710140455,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cik_Siti_Wan_Kembang_(U).jpg
"Pattani, Thailand",6.88439,101.24544,Raja Biru,Ratu Biru,1566,1624,1616,1624,Sultanate of Patani,Patani,Queen Regnant,Peracau,,,,
"Pattani, Thailand",6.88439,101.24544,Raja Hijau,"Ratu Hijau, Raja Ijau",,,1584,1616,Sultanate of Patani,Patani,Queen Regnant,Peracau,,,,
"Pattani, Thailand",6.88439,101.24544,Raja Kuning,Ratu Kuning,,,1635,1651,Sultanate of Patani,Patani,Queen Regnant,Paduka syah alam,,,,
"Pattani, Thailand",6.88439,101.24544,Raja Ungu,Ratu Ungu,,1635,1624,1635,Sultanate of Patani,Patani,Queen Regnant,Paduka syah alam,,,,
"Kollam, India",8.88647,76.59988,Umayamma Rani,"Aswathi Thirunal Umayamma, Queen Ashure",,1698,1677,1684,Venad,Quilon,Regent,Queen,,-,,
"Madurai, India",9.91997,78.11941,Mangammal,Rani Mangammal; Mangamma,,1705,1689,1704,Madurai Nayak,Madurai,Regent,Queen Regent,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Queen_Mangammal.jpg?20130216145224,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Queen_Mangammal.jpg
"Zaria, Kaduna, Nigeria",11.12434,7.72395,Amina,Aminatu,1533,1610,1576,1610,Zazzau,,Queen,Queen,,https://upload.wikimedia.org/wikipedia/commons/a/ab/Zazzau_emirates_interior_design_08.jpg,,
"Longvek, Cambodia",11.8784,104.76153,Queen Tey,,,,1687,1687,Cambodia,Longvek,Queen Regnant,Queen Regnant,,,,
"Sagar, Karnataka, India",14.16867,75.03147,Keladi Chennamma,,,1696,1677,1696,Keladi Kingdom,Sagara,Queen,Queen,,,,
"Mboul, Senegal",14.74869,-17.09725,Lingeer Ngoné Dièye,"Ngoone Jaay, Ngoneh Jaay",,,1697,1697,Cayor and Baol,Mboul,Lingeer,Lingeer,,,,
"Vijayapura, Karnataka, India",16.82913,75.71722,Khadija Sultana,,1600,after 1665,1656,1661,Bijapur Sultanate,Bijapur,Regent,Bari Sahiba,,,,
"Hyderabad, India",17.40992,78.44623,Hayat Bakshi Begum,,,1667,1626,?,Golconda Sultanate,Hyderabad,Regent,Royal Consort,,,,
"Hawai'i, USA",19.54412,-155.67029,Kaikilani,,,,,,Hawai'i,,Aliʻi Nui,Aliʻi Nui,,,,
"Hawai'i, USA",19.54412,-155.67029,Kalanikauleleiaiwi,,,,,,Hawai'i,,Chiefess,Chiefess,,,,
"Hawai'i, USA",19.54412,-155.67029,Keākealaniwahine,,1640,1695,1665,1695,Hawai'i,,Aliʻi Nui,Aliʻi Nui,,,,
"Hawai'i, USA",19.60657,-155.9764,Keakamahana,,1615,1665,1635,1665,Hawai'i,Hōlualoa Bay,Chiefess,Chiefess,,,,
Japan,35.0116,135.7681,Empress Meishō,,1624,1696,1629,1643,Japan,Kyoto,Empress Regnant,Empress Regnant,,https://upload.wikimedia.org/wikipedia/commons/d/df/Meisho_of_Japan.jpg?20151118155429,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Meisho_of_Japan.jpg
"Gilgit, Pakistan",35.88318,74.45944,Dadi Jawari,Malika Jawahir Khatun,,,"1630
1689","1660
1705",Gilgit,Gilgit,Ruler,Ruler,,,,
"Banaman, Iraq",36.35406,44.17908,Mir Xanzad,Khanzad,,,1620,1627,Soran Emirate,Harir,Mir,Mir,,,,
"Bermuda Hundred, Virginia, USA",37.33837,-77.27463,Opossunoquonuske,"Oppussoquionuske, Opposunoquonuske",,1610,,1610,Appomattoc,,Weroansqua,Weroansqua,,,,
"Virginia, USA",37.57427,-77.00283,Cockacoeske,,1640,1686,ca. 1656,1686,Pamunkey Tribe,,Werowamsqua,Werowamsqua,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Cockacoeske_VWM_Statue.jpg/450px-Cockacoeske_VWM_Statue.jpg?20200220055216,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cockacoeske_VWM_Statue.jpg
"Virginia, USA",37.57427,-77.00283,Queen Ann (Pamunkey chief),,1650,1725,1706,1718,Pamunkey Tribe,,Werowamsqua,Werowamsqua,Possibly the same person as Queen Betty,,,
"Virginia, USA",37.57427,-77.00283,Queen Betty,,,,1686,1706,Pamunkey Tribe,,Werowamsqua,Werowamsqua,Possibly the same person as Queen Ann,,,
"China, Mongolia",38.50372,97.94966,Erketü Qatun,Sanniangzi,1551,1612,1582,1612,Tümed,N/A,Regent of the Tümed,Erketü Qatun,,,,
Portugal,38.71359,-9.13722,Luisa de Guzmán,Luísa Maria Francisca de Gusmão,1613,1666,1656,1662,Portugal,Lisbon,Queen Consort,Regent,,https://upload.wikimedia.org/wikipedia/commons/e/e9/Luisa_Francisca_de_Guzm%C3%A1n_y_Medina_Sidonia_atribuible_a_Alonso_Cano.png?20141201204852,Museo Lázara Galdiano,https://museolazarogaldiano.blog/2013/07/25/revista-goya-343-resumenes-abstracts-imagenes/
China,39.90402,116.4074,Gao Guiying,,,1647,1644,,Pe-ching,Beijing,Empress,Empress,,,,
Spain and Portugal,40.4168,3.7038,Elisabeth of France (1602–1644),Isabella of Bourbon,1602,1644,1640,1644,Spain and Portugal,Madrid,Regent,Queen of Spain and Portugal,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Rodrigo_de_Villandrando_-_Isabel_of_France_-_WGA25100.jpg/644px-Rodrigo_de_Villandrando_-_Isabel_of_France_-_WGA25100.jpg?20150317045039,Museo del Prado,https://www.museodelprado.es/coleccion/obra-de-arte/isabel-de-borbon-reina-de-espaa-primera-esposa-de/88fa4d66-3089-40b2-a9f8-d7f97587d266
Spain,40.4168,3.7038,Mariana of Austria,Maria Anna of Austria,1634,1696,"1665
1679","1677
1696",Spain,Madrid,Regent,Queen Consort,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Mariana_of_Austria_%28Vel%C3%A1zquez%2C_c._1652%29.jpg/499px-Mariana_of_Austria_%28Vel%C3%A1zquez%2C_c._1652%29.jpg?20210306111612,Museo del Prado,https://www.museodelprado.es/coleccion/obra-de-arte/la-reina-doa-mariana-de-austria/1a32172a-5ffd-4da2-9df4-998f99f6176e
"Hachinohe, Japan",40.50593,141.46018,Seishin-ni,"Hachinohe Neneko, Nene, Mego",1585,1644,1614,1644,Hachinohe Clan,Hachinohe,Leader,Lady,,,,
"Istanbul, Turkey",41.0082,28.9784,Kösem Sultan,Mahpeyker Sultan,1589,1651,"1623
1640
1648","1632
1647
1651",Ottoman Empire,Constantinople,Regent,"Haseki Sultan, Valide Sultan",,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/K%C3%B6sem_portrait_%28cropped%29.jpg/554px-K%C3%B6sem_portrait_%28cropped%29.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:K%C3%B6sem_portrait_(cropped).jpg
"Istabul, Turkey",41.0082,28.9784,Turhan Sultan,,1627,1683,1651,,Ottoman Empire,Constantinople,Regent,"Haseki Sultan, Valide Sultan",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Turhan_Hatice.jpg/741px-Turhan_Hatice.jpg?20170105125422,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Turhan_Hatice.jpg
"near Little Compton, Rhode Island",41.51761,-71.16744,Awashonks,Awashunckes; Awashunkes; Awasoncks,,,,,Skonnet or Saconet,,,,,,,
"Kakheti, Georgia",41.64449,45.94512,Ketevan the Martyr,,1560,1624,1605,1614,Kakheti,,Regent,Queen,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Catharina_Georgiae_Regina.jpg/570px-Catharina_Georgiae_Regina.jpg?20210211204444,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Catharina_Georgiae_Regina.jpg
"Fall River, Massachusetts, USA",41.67366,-71.18353,Weetamoo,"Weethao, Weetamoe, Wattimore, Namumpum, Tatapanunum",1635,1676,1675,1676,Pocasset Tribe,Quequechan,Sunksqua,Sunksqua,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Wettimore_aka_Weetamoo_Native_American_from_Massachusetts.png/758px-Wettimore_aka_Weetamoo_Native_American_from_Massachusetts.png?20201017235638,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Wettimore_aka_Weetamoo_Native_American_from_Massachusetts.png
Italy,42.92517,10.52661,Anna Maria Arduino,Anna Maria Ardoini Ludovisi,1672,1700,1699,1670,Principality of Piombino,Piombino,Regent,Princess,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Anna_Maria_Arduino.jpg,,
"Piombino, Italy",42.92517,10.52661,Olimpia Ludovisi,,1656,1700,1700,1700,Principality of Piombino,Piombino,Princess,Princess,,,,
"Piombino, Italy",42.92526,10.52649,Ippolita Ludovisi,,1663,1733,1701,1733,Piombino,Piombino,Princess of Piombino,Princess,,,,
"Piombino, Italy",42.92526,10.52649,Isabella Appiani,,1557,1661,1611,1628,Piombino,Piombino,Princess of Piombino,Princess,,,,
"Siena, Italy",43.31911,11.33079,"Catherine de' Medici, Governor of Siena",Caterina de' Medici,1593,1629,1627,1629,Siena,Siena,Governor,Governor,,https://upload.wikimedia.org/wikipedia/commons/d/d1/1621_full_portrait_of_Caterina_de%27_Medici_as_Duchess_of_Mantua_by_Justus_Sustermans.jpg,,
"Florence, Italy",43.77605,11.25394,Archduchess Maria Maddalena of Austria,Maria Magdalena,1589,1631,1621,1628,Tuscany,Florence,Regent,Grand Duchess Consort,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Maria_Magdalena_van_Oostenrijk.jpg/741px-Maria_Magdalena_van_Oostenrijk.jpg?20200702143435,Flint Institute of Arts,https://flintarts.org/search/index?q=Maria+Maddalena
"Florence, Italy",43.77605,11.25394,Christina of Lorraine,Christine de Lorraine,1565,1637,1621,1628,Tuscany,Florence,Regent of Tuscany,Grand Duchess Consort,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Christine_de_Lorraine_1588.jpg/494px-Christine_de_Lorraine_1588.jpg?20110823110513,Uffizi,https://catalogo.beniculturali.it/detail/HistoricOrArtisticProperty/0900126060
"Modena, Italy",44.6468,10.92595,Laura Martinozzi,,1639,1687,1662,1674,Modena,Modena,Regent,Duchess,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Laura_Martinozzi_duchessa_Modena.jpg?20151008231901,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Laura_Martinozzi_duchessa_Modena.jpg
"Modena, Italy",44.6468,10.92595,Virginia de' Medici,,1568,1615,1601,1601,Modena and Reggio,Modena,Regent,Duchess,,https://upload.wikimedia.org/wikipedia/commons/3/35/Virginia_de_Medici_duchessa_di_Modena.jpg?20170110204018,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Virginia_de_Medici_duchessa_di_Modena.jpg
"Parma, Italy",44.80316,10.32651,Margherita Aldobrandini,,1588,1646,1626,1628,Parma and Piacenza,Parma,Regent,Duchess,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Margarita_Aldobrandini%2C_Duchess_of_Parma_by_Bartolome_Gonzalez%2C_held_in_the_Hermitage_collection.jpg/800px-Margarita_Aldobrandini%2C_Duchess_of_Parma_by_Bartolome_Gonzalez%2C_held_in_the_Hermitage_collection.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Margarita_Aldobrandini,_Duchess_of_Parma_by_Bartolome_Gonzalez,_held_in_the_Hermitage_collection.jpg"
